,Open,High,Low,Close,Volume
2024-06-28,124.58,127.71,122.75,123.54,315516740.0
2024-06-27,124.1,126.41,122.92,123.99,252571693.0
2024-06-26,126.13,128.12,122.6,126.4,362975918.0
2024-06-25,121.2,126.5,119.32,126.09,425787456.0
2024-06-24,123.24,124.46,118.04,118.11,476060866.0
2024-06-21,127.12,130.63,124.3,126.57,655484664.0
2024-06-20,139.8,140.76,129.52,130.78,517768425.0
2024-06-18,131.14,136.33,130.69,135.58,294335054.0
2024-06-17,132.99,133.73,129.58,130.98,288504444.0
2024-06-14,129.96,132.84,128.32,131.88,309320376.0
2024-06-13,129.39,129.8,127.16,129.61,260704537.0
2024-06-12,123.06,126.88,122.57,125.2,299595001.0
2024-06-11,121.77,122.87,118.74,120.91,222551158.0
2024-06-10,120.37,123.1,117.01,121.79,308134791.0
2024-06-07,1197.7,1216.9171,1180.22,1208.88,41238580.0
2024-06-06,1240.48,1255.87,1183.2,1209.98,66469619.0
2024-06-05,1183.71,1224.495,1174.68,1224.4,52840178.0
2024-06-04,1157.16,1166.0,1140.45,1164.37,40332401.0
2024-06-03,1136.21,1150.0,1120.03,1150.0,43839176.0
2024-05-31,1125.2,1127.17,1069.4,1096.33,61326250.0
2024-05-30,1146.5,1158.1915,1096.63,1105.0,48735033.0
2024-05-29,1130.5,1154.92,1109.01,1148.25,55744193.0
2024-05-28,1102.44,1149.39,1098.83,1139.01,65272789.0
2024-05-24,1044.49,1064.75,1030.0,1064.69,42949367.0
2024-05-23,1020.28,1063.2,1015.2,1037.99,83506528.0
2024-05-22,954.59,960.2,932.49,949.5,54864799.0
2024-05-21,935.99,954.0,931.8,953.86,32894646.0
2024-05-20,937.5,952.0,934.4,947.8,31876446.0
2024-05-17,943.69,947.4,918.06,924.79,35969103.0
2024-05-16,949.1,958.1899,941.03,943.59,32395182.0
2024-05-15,924.72,948.62,915.99,946.3,41773545.0
2024-05-14,895.99,916.51,889.34,913.56,29650708.0
2024-05-13,904.78,909.98,885.29,903.99,28968017.0
2024-05-10,903.045,914.01,892.27,898.78,33532541.0
2024-05-09,905.29,910.72,882.31,887.47,37801268.0
2024-05-08,894.825,911.94,894.2,904.12,32572102.0
2024-05-07,910.98,917.8099,890.11,905.54,43734161.0
2024-05-06,893.9,922.2,890.55,921.4,37620255.0
2024-05-03,877.89,892.81,870.4,887.89,39834072.0
2024-05-02,844.49,862.37,832.0,858.17,37789754.0
2024-05-01,850.77,860.0,812.5456,830.41,55986317.0
2024-04-30,872.4,888.19,863.0,864.02,36370870.0
2024-04-29,875.95,879.92,852.66,877.57,38897076.0
2024-04-26,838.18,883.3093,833.87,877.35,55101078.0
2024-04-25,788.6801,833.2299,782.23,826.32,42464073.0
2024-04-24,839.5,840.82,791.83,796.77,51220753.0
2024-04-23,807.69,827.69,802.64,824.23,43855937.0
2024-04-22,781.04,800.73,764.0,795.18,59634051.0
2024-04-19,831.5,843.24,756.06,762.0,87519800.0
2024-04-18,849.7,861.8999,824.02,846.71,44726034.0
2024-04-17,883.4,887.75,839.5,840.35,49539951.0
2024-04-16,864.325,881.18,860.639,874.15,37045302.0
2024-04-15,890.98,906.13,859.2901,860.01,44307695.0
2024-04-12,896.99,901.7499,875.3,881.86,42680479.0
2024-04-11,874.2,907.3899,869.26,906.16,43163727.0
2024-04-10,839.26,874.0,837.09,870.39,43192853.0
2024-04-09,874.42,876.35,830.22,853.54,49977974.0
2024-04-08,887.0,888.3,867.32,871.33,27907532.0
2024-04-05,868.66,884.81,859.26,880.08,39772878.0
2024-04-04,904.06,906.3399,858.8,859.05,42886990.0
2024-04-03,884.84,903.74,884.0,889.64,36759126.0
2024-04-02,884.48,900.94,876.2,894.52,43137935.0
2024-04-01,902.99,922.25,892.04,903.63,44811733.0
2024-03-28,900.0,913.0,891.93,903.56,43521227.0
2024-03-27,931.12,932.4,891.23,902.5,58606723.0
2024-03-26,958.51,963.75,925.02,925.61,51364758.0
2024-03-25,939.41,967.6599,935.1,950.02,55213608.0
2024-03-22,911.41,947.7799,908.3401,942.89,58671936.0
2024-03-21,923.0,926.48,904.05,914.35,48037231.0
2024-03-20,897.97,904.1,882.23,903.72,47906279.0
2024-03-19,867.0,905.44,850.1,893.98,67217127.0
2024-03-18,903.88,924.05,870.85,884.55,66897593.0
2024-03-15,869.3,895.46,862.57,878.365,64208616.0
2024-03-14,895.77,906.46,866.0,879.44,59711081.0
2024-03-13,910.55,915.04,884.35,908.88,62726626.0
2024-03-12,880.49,919.6,861.501,919.13,65437480.0
2024-03-11,864.29,887.97,841.66,857.74,66611510.0
2024-03-08,951.379,974.0,865.06,875.28,114226906.0
2024-03-07,901.58,927.67,896.0201,926.69,60811916.0
2024-03-06,880.22,897.24,870.3001,887.0,58252030.0
2024-03-05,852.7,860.97,834.1701,859.64,52063930.0
2024-03-04,841.3,876.95,837.19,852.37,61561645.0
2024-03-01,800.0,823.0,794.3503,822.79,47913510.0
2024-02-29,790.94,799.9,783.5,791.12,50728898.0
2024-02-28,776.2,789.33,771.25,776.63,39311040.0
2024-02-27,793.81,794.8,771.62,787.01,39170524.0
2024-02-26,797.0,806.4599,785.05,790.92,50397273.0
2024-02-23,807.9,823.94,775.7,788.17,82938837.0
2024-02-22,750.25,785.75,742.2,785.38,86509974.0
2024-02-21,680.06,688.88,662.48,674.72,69029813.0
2024-02-20,719.47,719.56,677.34,694.52,70483310.0
2024-02-16,741.0,744.02,725.01,726.13,49532662.0
2024-02-15,738.69,739.75,724.0,726.58,42012181.0
2024-02-14,732.02,742.36,719.38,739.0,50491742.0
2024-02-13,704.0,734.5,696.2,721.28,60258015.0
2024-02-12,726.0,746.11,712.5,722.48,61371018.0
2024-02-09,705.33,721.85,702.12,721.33,43663689.0
2024-02-08,700.74,707.94,694.55,696.41,41442211.0
2024-02-07,683.19,702.2,676.0,700.99,49557455.0
2024-02-06,696.3,697.5399,663.0,682.23,68311136.0
